mem,AAE,ARE,RR,PR,F1,
50000,3350.18,0.177821,0.532258,1,0.694737,
75000,2569.35,0.139331,0.548387,1,0.708333,
100000,2113.42,0.133938,0.612903,1,0.76,
125000,1724.68,0.129959,0.66129,1,0.796117,
150000,1550.98,0.127331,0.693548,1,0.819048,
