mem,AAE,ARE,RR,PR,F1,
50000,3354.12,0.178539,0.532258,1,0.694737,
75000,2572.21,0.139841,0.548387,1,0.708333,
100000,2113.95,0.134032,0.612903,1,0.76,
125000,1725.1,0.130072,0.66129,1,0.796117,
150000,1552.49,0.12766,0.693548,1,0.819048,
