mem,AAE,ARE,RR,PR,F1,
50000,668569,11.694,0.016129,0.0204082,0.018018,
75000,443573,16.4429,0.0806452,0.0675676,0.0735294,
100000,301674,5.2766,0.016129,0.010101,0.0124224,
125000,229181,4.00862,0.016129,0.00806452,0.0107527,
150000,201443,7.64984,0.0806452,0.033557,0.0473934,
