mem,AAE,ARE,RR,PR,F1,
50000,696890,690.008,0.000694927,0.0408163,0.00136659,
75000,453922,274.941,0.00243224,0.0945946,0.00474255,
100000,339473,510.962,0.00104239,0.030303,0.00201545,
125000,266974,401.206,0.00104239,0.0241935,0.00199867,
150000,217556,222.738,0.00312717,0.0604027,0.00594648,
