mem,AAE,ARE,RR,PR,F1,
50000,425.041,0.233866,0.380125,0.968999,0.546044,
75000,340.618,0.203069,0.420778,0.992623,0.59102,
100000,298.935,0.185033,0.443016,0.995316,0.613128,
125000,271.782,0.177938,0.458304,0.993971,0.627348,
150000,254.726,0.169432,0.464906,0.998507,0.634424,
