k,AAE,ARE,RR,PR,F1,
6930,202.828,0.200125,0.380664,0.959971,0.545154,
2878,301.416,0.186265,0.438151,0.996051,0.608591,
1628,401.11,0.180877,0.467445,0.996073,0.636288,
1052,493.964,0.179002,0.507605,1,0.673392,
666,606.144,0.182402,0.561562,0.997333,0.71854,
