k,AAE,ARE,RR,PR,F1,
6930,211.244,0.201654,0.363203,0.980522,0.530062,
2878,313.617,0.189742,0.417999,0.997512,0.589128,
1628,410.918,0.183959,0.457617,0.99866,0.627633,
1052,509.004,0.182529,0.486692,1,0.654731,
666,604.569,0.18197,0.551051,1,0.710552,
