k,AAE,ARE,RR,PR,F1,
485,727.898,0.191416,0.587629,1,0.74026,
382,815.807,0.183816,0.58377,1,0.73719,
317,910.186,0.174373,0.55836,1,0.716599,
246,1070.12,0.179676,0.565041,1,0.722078,
190,1188.64,0.182121,0.621053,1,0.766234,
62,2113.37,0.133925,0.612903,1,0.76,
