k,AAE,ARE,RR,PR,F1,
485,714.23,0.188835,0.6,1,0.75,
382,819.643,0.184243,0.586387,1,0.739274,
317,910.798,0.175652,0.561514,1,0.719192,
246,1068.35,0.179115,0.565041,1,0.722078,
190,1188.42,0.18188,0.621053,1,0.766234,
62,2114.18,0.134075,0.612903,1,0.76,
